,,A 1-6 Tetraphenyl porphyrin ,,,,,,A 7-12 C7SHU,,,,,,B 1-6 Tetraphenyl porphyrin ,,,,,,B 7-12 C7SHU,,,,,,C 1-6 Tetraphenyl porphyrin  ,,,,,,C 7-12 C7SHU,,,,,,D 1-6 Tetraphenyl porphyrin ,,,,,,D 7-12 C7SHU,,,,,,E 1-6 C5SHU,,,,,,E 7-12 C8SHU,,,,,,F 1-6 C5SHU,,,,,,F 7-12 C8SHU,,,,,,G 1-6 C5SHU,,,,,,G 7-12 C8SHU,,,,,,H 1-6 C5SHU,,,,,,H 7-12 C8SHU,,,,,
Well Row,,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,B,B,C,C,C,C,C,C,C,C,C,C,C,C,D,D,D,D,D,D,D,D,D,D,D,D,E,E,E,E,E,E,E,E,E,E,E,E,F,F,F,F,F,F,F,F,F,F,F,F,G,G,G,G,G,G,G,G,G,G,G,G,H,H,H,H,H,H,H,H,H,H,H,H
Well Col,,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
Content,Wavelength [nm],Sample X1,Sample X2,Sample X3,Sample X4,Sample X5,Sample X6,Sample X7,Sample X8,Sample X9,Sample X10,Sample X11,Sample X12,Sample X13,Sample X14,Sample X15,Sample X16,Sample X17,Sample X18,Sample X19,Sample X20,Sample X21,Sample X22,Sample X23,Sample X24,Sample X25,Sample X26,Sample X27,Sample X28,Sample X29,Sample X30,Sample X31,Sample X32,Sample X33,Sample X34,Sample X35,Sample X36,Sample X37,Sample X38,Sample X39,Sample X40,Sample X41,Sample X42,Sample X43,Sample X44,Sample X45,Sample X46,Sample X47,Sample X48,Sample X49,Sample X50,Sample X51,Sample X52,Sample X53,Sample X54,Sample X55,Sample X56,Sample X57,Sample X58,Sample X59,Sample X60,Sample X61,Sample X62,Sample X63,Sample X64,Sample X65,Sample X66,Sample X67,Sample X68,Sample X69,Sample X70,Sample X71,Sample X72,Sample X73,Sample X74,Sample X75,Sample X76,Sample X77,Sample X78,Sample X79,Sample X80,Sample X81,Sample X82,Sample X83,Sample X84,Sample X85,Sample X86,Sample X87,Sample X88,Sample X89,Sample X90,Sample X91,Sample X92,Sample X93,Sample X94,Sample X95,Sample X96
Raw Data (Em Spectrum),697,905,65263,46431,25790,12362,4383,765,192497,133959,73682,31611,16884,1020,67583,48031,27877,12733,6911,1508,180321,130944,75143,43973,15562,1206,70319,45735,25303,11550,5404,1879,196602,143932,72383,40888,17858,1577,68139,46478,23308,17696,8326,4476,198852,136186,73682,38685,16003,1600,174013,122270,66701,34812,16513,3711,178326,136023,71015,39242,15585,1879,173502,118629,71618,37664,17696,2250,214785,125888,67931,31727,16838,2366,174801,133519,74494,42280,9741,1925,185238,144210,72523,45619,14356,2296,157013,133751,75746,40819,21059,2621,179996,136650,74587,39242,15608
Raw Data (Em Spectrum),698,796,65560,48814,26253,13223,5140,941,196753,139541,75115,33830,18387,1013,69590,49273,26253,12716,8276,1665,189248,138697,78880,45002,16915,1231,71665,46208,26567,12668,5960,2196,202713,145622,77166,38993,18411,1568,69759,49393,24733,18652,8108,4271,207587,144174,75695,40441,16312,1520,181696,127525,69373,36315,16867,3644,186208,142799,76056,39959,16770,2075,183843,124316,71906,38221,17542,3113,225153,129528,71761,33781,16384,2509,184640,133968,77239,43602,11365,2003,194460,152210,74922,47197,14671,1906,161885,142196,81462,42927,21620,2896,181889,141568,77239,40441,15805
Raw Data (Em Spectrum),699,677,70881,49311,28041,14246,5468,853,205144,142941,77603,34061,18510,1028,71759,50540,29195,13996,7625,1756,192352,147932,81892,48483,17658,1254,73690,47028,27038,13017,6195,1781,209007,155407,79008,42037,18937,1405,72236,50013,26236,18460,8127,4465,215628,146553,77929,40783,17633,1781,186910,133711,75296,37196,18034,4063,193155,149011,79158,41711,17858,1931,182972,130049,77703,41109,18009,3060,232408,137122,75321,34161,17783,2960,192804,140232,80437,44796,11136,2232,200629,160674,79559,48734,14221,2107,165690,145224,83698,43667,23050,2935,193506,146804,80212,43943,16328
Raw Data (Em Spectrum),700,893,73485,49630,30056,15054,5596,893,218407,154012,81866,36309,20230,1182,77663,54280,30266,14608,7383,1708,204902,151174,85781,49892,19205,1576,77847,49919,28348,13373,5938,1839,223477,165362,81709,46135,20256,1655,76323,49892,25774,19153,9695,4755,222926,159608,85439,43639,19074,1839,202485,142741,77400,39698,18365,3836,205402,152829,83259,46293,18312,2154,196653,136172,78136,40828,18076,2916,242551,144186,74851,35574,18706,2654,199017,148311,85912,48368,13005,2076,213283,167463,82208,51469,15869,2417,174347,153513,88776,47764,23698,3100,200672,156114,84467,46345,19100
Raw Data (Em Spectrum),701,1069,75468,54873,30302,14671,5512,1069,226568,160150,85642,38392,19086,1069,79499,55806,29918,15412,8090,1837,213240,156393,89508,52158,20046,1536,81583,53530,29562,14507,6390,2276,228405,169885,89234,45879,21829,1755,78951,55312,28876,20595,9433,4909,232327,165278,90715,46098,18291,1865,209264,144519,78731,41217,20293,3784,214584,161247,86080,46180,17359,1974,207728,140734,82516,44836,20732,3373,254676,151841,82817,38749,19635,3099,203450,150716,88603,49690,12998,2221,222893,171009,83750,51418,16701,2633,183953,162974,91428,47524,25476,3483,215462,163715,88192,46564,18977
Raw Data (Em Spectrum),702,911,78459,57991,32255,15430,5808,826,236517,167168,88082,39742,19985,1139,83413,57108,33052,16369,8057,2249,221258,166570,91811,54432,19529,1338,84552,55400,30205,14718,7060,2648,243065,176705,91242,47628,21522,1651,84096,57080,30063,22519,9793,5067,249271,171637,91583,47713,19045,2107,217329,150599,81733,41991,19102,4498,225130,170641,93149,47372,19900,2761,215194,150656,89164,48539,22319,3473,265356,160392,84324,39998,20213,3416,221543,160591,90986,51329,13437,2534,233158,179438,90616,58560,18106,3018,190142,167338,94630,50389,26333,3359,219408,171523,92295,49991,19871
Raw Data (Em Spectrum),703,801,82268,57238,34016,17082,6228,890,249117,173552,94368,41312,22094,1305,86983,60618,33571,15807,8956,2254,233874,174352,101871,56822,20137,1572,89297,57119,31169,14917,6821,2224,254277,183872,98075,51010,22480,1957,84344,59017,30517,22272,11270,5249,254663,179542,101189,47718,20018,2224,229544,157151,86390,44574,20285,4715,232569,177348,94071,51247,20552,2699,224324,154660,90097,51514,20789,3500,274088,162460,88021,42053,19811,3114,231234,172899,98372,55547,13879,2728,243542,187342,92411,59195,17735,2877,200361,178445,99943,51632,27195,3262,233340,174975,98520,51366,21353
Raw Data (Em Spectrum),704,1051,84446,59687,34619,17217,6955,958,255225,180268,98634,42223,22564,1391,88928,59997,34836,16073,9860,2380,242397,178382,103827,57369,21143,1607,91772,60182,33043,16475,7604,2596,266569,189757,95234,52269,24697,1855,85992,61975,31621,23986,10479,5471,265270,183544,99871,52764,20586,2195,237482,165771,90938,46303,23152,5100,244468,185090,98078,51867,20648,2442,234639,159403,93318,51002,22904,4049,286629,171675,91988,43181,21915,2689,242026,172942,100180,56658,13848,2844,253772,197794,94801,61418,17619,3029,207561,183328,102992,55205,27788,3771,240666,185337,103054,52238,21297
Raw Data (Em Spectrum),705,1162,85857,64522,35343,17946,6552,968,268933,188982,101867,42573,22110,1485,95314,63683,35924,18172,9231,2163,255150,189918,107257,62037,23465,1840,96509,62004,33116,15364,7940,2518,277293,200925,104061,54064,24272,2163,89537,64005,32438,25176,12330,5164,282909,196535,104352,54258,21981,2195,249728,174232,95960,47544,22303,5293,252116,193663,104029,55775,20431,2840,241465,165001,98219,52418,23917,3583,300661,182301,98090,47189,23691,3776,250567,185045,103448,57324,16106,2937,265415,202991,100672,65490,18850,3325,215030,186400,110710,57356,29114,3938,247888,197471,105675,56227,22303
Raw Data (Em Spectrum),706,1310,92647,65884,37778,17394,7287,1142,281165,196107,105710,46978,25319,1511,99531,67294,37945,18503,10007,2317,259540,193522,109538,63030,22264,1612,97483,64910,35796,16689,8194,2351,288553,207592,103695,58429,25823,2082,97315,67798,34957,25890,10645,5809,292012,192615,108463,57724,22935,2351,255712,179216,98121,50538,24077,5238,260010,198962,104434,57657,23405,2451,251279,173911,101143,55105,23170,3559,313201,188014,98624,44896,24547,3492,253495,188652,107154,61384,16488,2921,271192,216020,102352,66723,21290,2955,230090,198021,114239,59739,29819,3962,259103,201849,106919,59840,24816
Raw Data (Em Spectrum),707,1190,95200,67655,38360,19355,7805,1085,288365,199885,111545,47985,26810,1575,101115,71610,40250,17815,10990,2415,271915,197750,116060,66465,23485,1855,102795,66290,37450,17815,7315,3080,298515,216230,109515,60585,26110,2205,101255,67270,37065,25935,13055,5845,299110,205625,113575,56910,24395,2520,263270,187985,101570,53270,24990,5425,270235,205485,107345,57120,24640,2555,262535,174930,104650,57750,25130,4130,322245,194425,100380,49105,25060,3500,271705,201075,112490,61950,16345,2765,282870,220570,106925,68565,19950,3290,230090,202755,115640,62930,31885,3885,271600,209440,110600,61390,21385
Raw Data (Em Spectrum),708,1097,98086,71581,38752,19668,7312,1206,301277,210685,114537,49317,26980,1572,105836,71654,39300,20363,10529,2742,280000,206518,119728,70411,25627,1755,105727,70119,39849,18754,9140,2961,307675,222238,117023,59809,28113,2193,100462,70631,37107,26030,12832,6434,312062,214268,116804,62076,24275,2340,276454,191968,105032,54143,25847,5484,277770,215548,115195,59590,24202,3436,275686,187544,107518,59846,27053,4204,331876,197854,109090,49939,25189,4058,277587,206664,118156,64745,16086,3656,289322,226223,111174,70887,21679,3363,242418,213976,122105,63465,32171,4168,282340,216389,114062,60285,25554
Raw Data (Em Spectrum),709,1335,100853,71863,40089,21590,8010,1182,307746,214827,117560,50159,26930,1716,106727,72435,40814,18996,11443,2632,295044,217917,119772,72741,26319,1831,114852,70452,38716,18843,9193,2746,312094,228750,118437,61641,27769,2479,103485,72321,36466,27464,13198,6217,311522,225698,119772,63090,25442,2403,286042,198768,104438,54508,26853,6027,292641,220396,116492,61679,25900,3776,279100,187630,110579,61908,26243,4501,343410,204337,108176,51227,25137,3280,283562,209525,115462,64120,18157,3395,294929,235806,113173,69041,23230,3395,244274,216582,122137,66180,35016,4768,287911,221769,120268,66599,26014
Raw Data (Em Spectrum),710,1243,107476,76167,41371,20926,8098,1203,315973,221165,123030,51914,28222,1724,109881,76528,42373,21407,11024,3127,295889,221726,126718,70475,27300,1924,114812,71116,40208,18641,8900,2686,321184,238563,119702,63219,29785,2405,108999,73561,41291,28903,13189,7015,332369,222688,124513,64421,24173,2365,291680,204689,112406,57727,28422,5813,300579,226216,119502,64381,25376,3648,283341,195348,112567,62297,29024,4329,350970,214150,114691,54961,28743,4289,294285,216876,124553,69432,19082,3608,303987,243173,116736,73762,23812,3287,261654,229102,124874,69312,35157,4169,301020,228220,124353,66586,26578
Raw Data (Em Spectrum),711,1468,109462,76539,41813,21305,8010,1300,319955,225256,120953,54018,26715,1845,111391,77336,44707,21347,10820,2684,313287,223369,128586,74568,27596,2055,116675,73058,41142,21473,8891,3481,331740,243122,123218,65425,30406,2139,111265,78217,40975,28225,13379,6123,337695,230708,123637,66558,25289,3020,297727,208271,115794,56576,28686,6584,303179,232008,125482,66935,27722,3649,290178,195605,116633,63664,30029,4236,362691,212129,113697,52802,27680,3691,296511,218630,125860,70668,17153,4026,316348,250336,121288,78259,23318,3481,262288,224459,129509,68906,33887,4320,304312,226682,125231,69871,27093
Raw Data (Em Spectrum),712,1225,112848,75874,44413,23804,7876,1356,333906,229940,128907,53777,27654,1838,116174,79331,45419,22885,11508,3238,313078,229809,133239,76530,29492,1925,117267,77361,44807,21309,11508,3588,341038,245561,127244,70667,31023,2494,112454,77930,39600,31373,14133,6957,342963,236985,122343,66685,27348,3019,304808,212657,117442,61259,29011,6914,311109,234360,125931,67648,25991,3544,297938,204693,118711,63359,29142,4944,363835,220139,117311,56315,28048,3938,301789,223027,128819,70229,18684,4026,324017,252212,118755,79287,24329,4113,265952,234929,134770,69267,36493,4376,312115,237860,127463,68260,27873
Raw Data (Em Spectrum),713,1377,113750,81768,44004,22667,9911,1422,338083,234061,128204,54236,31156,1835,119118,79703,42811,23585,13857,2983,321197,224654,127882,78923,29091,2386,120357,78831,44279,20786,9728,3396,348637,245808,128295,69929,31799,2707,114117,80896,41526,32579,14637,7204,347260,238328,130544,65845,26613,2753,307844,214330,116182,62312,29137,7204,312984,238191,127745,69287,26981,3441,300595,210476,121734,63368,30147,4267,375388,219148,123661,55659,26476,4451,314406,224930,131278,73416,18997,4176,330099,256866,126047,81768,24732,4038,266318,244018,133205,72682,37580,4772,315232,237181,130406,71398,27990
Raw Data (Em Spectrum),714,1249,112379,83852,43703,23004,9605,1489,344726,240223,130389,56910,29872,2017,119727,81643,44664,23292,12775,2737,318456,234604,135191,77465,26990,2353,122753,78810,43943,20651,9749,3314,348904,251797,127075,71702,30544,2785,116942,79962,42502,30352,14264,7588,347511,240127,130389,69204,26558,2930,312309,215826,118190,62865,29632,5907,318312,248579,125298,66851,28623,3890,307554,210735,123425,68436,29199,5235,378055,228264,119823,55421,29440,4658,312020,226247,134807,74679,20411,3746,333680,260345,124914,84092,26126,4034,277298,241039,137400,73719,39045,5187,318264,243969,131301,70357,28431
Raw Data (Em Spectrum),715,1410,117712,81950,45030,22616,9016,1662,344171,240059,131312,58227,31229,1964,115194,80187,44023,23321,13499,3274,327801,243333,135644,79936,29768,2569,123505,78878,44476,20752,9570,3929,354799,252349,127434,75654,32236,2972,119223,82001,41907,29919,15161,7455,355001,249175,134485,69560,28056,3274,318483,215680,118820,62155,29617,7152,323822,242476,128239,69358,28962,3173,309518,210492,125368,68502,29919,5541,381898,230438,122497,59284,28509,4533,320296,238245,131967,73639,19996,3979,330068,264387,130405,82454,25537,3828,278541,237137,137558,71675,39187,5238,322513,245851,133830,78273,30121
Raw Data (Em Spectrum),716,1687,116434,79590,45013,22928,9962,1581,341817,245307,130823,57031,29570,1898,122759,86812,46858,22559,12756,3004,329009,238508,136674,83544,27672,2583,122759,79380,46015,20925,10963,3268,353466,253424,124867,68574,32363,2741,119438,80012,42589,33470,14864,7801,361899,251474,134724,70419,28357,3163,318994,222801,118806,65095,31731,7063,318573,246414,133564,69681,28937,3742,317413,210045,126343,68363,31836,4691,385249,230180,120124,57874,31046,4375,322631,236505,133090,76217,20135,3742,342397,263070,127028,85019,25458,3795,278830,243093,131878,74161,38319,4533,321577,248997,136200,73213,27936
Raw Data (Em Spectrum),717,1760,118401,82050,45645,21832,9239,1760,343489,241641,128025,57413,31126,2200,120436,82710,48999,23867,13528,3685,323142,233777,135669,83645,30631,2530,125715,79356,45590,21667,11219,3795,349264,259954,129510,70612,31071,3080,119556,80346,43720,31896,15398,7424,353168,248241,131544,70227,27992,3630,312748,222834,117851,61703,33161,7094,321822,244446,131819,72261,28157,4234,321822,207875,122636,68742,31731,5059,388804,226958,124065,57853,31346,4344,320612,229873,138474,77376,20183,3630,334800,261329,129565,82985,25737,3520,272988,247801,137924,71602,37891,4894,320502,248681,133194,73196,29147
Raw Data (Em Spectrum),718,1787,112119,80529,46173,22712,9396,1902,347942,236054,127221,56665,30379,2075,121918,83757,44905,23288,12163,3805,314797,241415,134485,79665,29168,2594,126069,78397,42599,19772,10837,3805,350248,256403,132813,70903,31647,3113,117364,80645,41158,32050,14353,7206,349210,248333,129354,67963,27612,2998,314912,216743,119728,64158,30206,7378,314970,242626,131257,69750,27669,3977,309493,207405,124224,69635,31935,5361,382875,230405,121111,56722,29168,4957,308802,236112,135234,74016,19657,4093,328401,257844,127856,82605,23692,4150,276751,236804,138750,71076,36662,5419,317967,245969,133620,73324,28822
Raw Data (Em Spectrum),719,1877,111956,78957,46441,22827,9264,1877,328118,238504,126912,55403,30275,2664,116679,82045,47592,22161,12170,3209,318188,231420,138840,77806,29185,2543,125580,79804,44201,21737,11626,4057,343740,257517,128547,66907,33423,2664,114499,80712,43111,31183,15137,7508,347312,238141,133391,70359,26400,2967,307047,215375,117284,60065,28034,6600,319459,242985,130666,68300,28458,4178,308500,209380,118193,65757,31183,5571,369534,224578,122068,55645,30820,4783,312799,231783,130060,71993,20466,3936,324485,257396,122128,84103,25189,4844,279254,236446,133088,71146,37117,5449,314615,244499,128970,67149,28337
Raw Data (Em Spectrum),720,1724,109392,81038,44830,21521,9515,1788,334561,222998,124526,57665,26949,2491,118013,82251,47639,21776,11559,3001,306271,226510,130721,77590,28737,3065,118907,75738,44957,21329,11303,4087,330346,243178,127592,67819,30206,3576,111563,80080,40934,30269,14496,7535,341777,234748,129763,69671,27971,3321,306399,211312,115011,59645,28609,6641,310997,228426,123696,65903,30780,3385,298672,207608,119226,64562,29503,5045,379327,227149,115586,53451,27907,5620,301035,224148,135510,70820,18775,4470,329069,256588,123377,78420,25033,4534,275235,230406,133594,70373,35953,5747,311571,240687,132381,67883,27843
Raw Data (Em Spectrum),721,2149,110497,73015,42385,22099,9068,2015,315906,226703,116273,54745,28951,2553,111639,76642,42788,21831,12427,3762,298576,225897,125610,68649,28884,2821,114661,76508,41109,21226,10613,4097,324101,231405,126483,66835,29690,2620,109019,78993,39698,30093,13636,7859,326519,222874,125140,66164,25861,3493,291926,209574,114124,55215,29287,7590,302875,231136,121311,63678,28749,4366,286821,194662,113990,63813,31167,5172,353656,218441,115131,52729,29287,5105,288030,214478,124938,69925,18674,4769,317720,244503,116945,75097,22368,4635,260423,219851,127491,67104,35399,6045,298374,236040,123864,67373,26801
Raw Data (Em Spectrum),722,2173,104224,71632,41283,22289,8201,2173,298583,207606,112985,51937,25793,2453,107167,72963,43456,21447,11775,3785,285265,205013,122797,65814,27405,2874,110742,71912,41353,18994,9883,3645,307764,218890,119573,66375,27896,2523,107027,72753,40862,30559,12756,6799,302367,215666,121676,59997,24251,3294,281621,189313,101560,57474,29017,5958,292695,218190,112564,63151,26985,4346,272649,188401,112494,58735,27055,5117,338183,201228,110882,51937,28386,4906,280289,213003,120554,64973,18293,4346,298723,229754,114106,71632,23130,4766,245244,216648,123288,67076,34765,4976,284494,214545,121255,68127,25723
Raw Data (Em Spectrum),723,2211,99551,68676,43181,19085,8990,2211,289443,201682,112741,48118,27485,2874,101836,69413,41339,21296,12822,3242,277653,200134,115984,66392,26822,2800,101173,68382,39423,20780,11643,3463,298212,217304,113257,60866,27191,3095,104194,68161,39717,28517,13337,7148,292907,208682,113552,58434,24759,3390,269474,187902,98520,52907,27780,5821,261295,206472,111857,59760,23948,4053,264169,178470,106846,57402,27264,4569,316781,190997,102278,52613,25791,4937,264169,199545,116868,66024,17611,3979,287749,223567,110678,73540,24096,3905,235210,204998,113699,61529,30949,5305,273822,206693,114289,59760,26306
Raw Data (Em Spectrum),724,2169,95569,67998,37174,21762,8519,2246,278730,191216,109587,47552,23311,2943,99209,68308,38723,19981,11462,3563,258362,192919,110052,64823,22924,2788,99519,68385,37949,18277,9371,3795,280047,206860,107031,55994,26177,3408,93710,67998,39188,28191,11927,6893,280512,195862,103159,59324,23234,4492,252166,176346,97815,49798,25402,6118,253947,197024,107186,54135,24705,4105,248449,168834,103004,56381,27261,5344,313271,188660,103624,48559,28113,4647,255961,188273,109277,60253,16341,4879,268972,209183,107883,67533,21065,4260,224285,194933,109664,59014,32063,4957,259988,195011,103624,60873,22460
Raw Data (Em Spectrum),725,2665,84701,65807,33590,19782,7348,2503,253698,176991,98992,42633,23577,2826,93017,62335,34155,21316,10577,3472,240456,177476,105290,59347,22608,3149,96974,59589,37304,18410,6783,3230,270170,192171,98427,51999,25111,3553,91322,65726,36416,26484,13081,6863,257251,180302,97055,53210,22931,4683,232866,163668,86558,48204,23012,6621,244655,186681,95036,53372,22770,4925,233109,153818,91241,51515,23820,4118,291810,165849,92775,43844,23658,4360,230928,174165,99315,54502,16553,3553,249823,193382,95763,61769,20025,4441,213972,181271,100123,55068,27776,5652,236823,181028,99154,52887,23174
Raw Data (Em Spectrum),726,2438,82814,59777,34219,17404,8239,2438,238773,164535,93996,39852,21187,3111,86177,55742,36236,20767,10341,4036,227675,167057,92903,53472,22364,3195,88867,57423,34050,16983,8492,3952,247181,178743,95425,51370,23205,3531,86429,58937,30351,26315,10846,6810,248358,170840,90465,47334,19253,3111,217670,157388,83402,43299,21775,6053,226498,171933,94753,50277,23709,4372,220277,144861,84664,49016,23121,5885,275262,164114,92483,41785,20262,4288,216998,164283,93491,55658,16311,4624,232047,179668,92314,60450,19169,3867,195474,172942,99461,54649,28081,4540,225741,170504,94837,53304,21607
Raw Data (Em Spectrum),727,3080,79471,54037,32915,16193,7041,2728,227851,156125,88184,41188,22266,2992,82375,55533,32123,16809,9945,3432,203033,155157,88624,52804,21562,3168,83255,54741,34411,14697,10737,3696,232428,156741,89680,46028,23498,3256,76655,58965,30011,22530,12321,5897,228908,167390,82815,45060,20066,3256,202417,143452,74630,39427,22354,5985,214210,158325,88712,44708,20506,3608,195289,138084,83959,44092,21826,5192,242373,146620,81143,37843,21474,5016,205145,151725,89240,49988,16457,3872,219843,169766,79647,56325,18834,4752,186840,160174,88800,49988,26930,5192,206730,165630,86159,50164,20858
Raw Data (Em Spectrum),728,2873,77481,58853,31975,16034,8063,2873,214464,151256,79335,38463,21873,3151,75350,51994,30770,15478,9917,3337,195743,143841,85823,46989,20483,3615,78594,49955,32160,15570,8341,4449,212055,157280,75906,44487,23356,3337,74330,52921,28453,22151,11400,6488,212703,150422,83598,44024,18351,3800,193704,134388,75350,39668,21039,5654,194909,150051,80911,42355,18722,4727,192684,123729,77018,44487,21502,4819,233001,137910,73960,35775,20390,4356,195465,148012,80818,47916,14366,4356,205845,153943,70252,53570,16683,4356,170904,145046,84155,44487,25951,4912,190831,151534,82208,44580,20112
Raw Data (Em Spectrum),729,2826,66757,48143,28847,15398,7796,2826,190819,139849,72800,35766,21245,3021,66952,49703,27580,14911,9453,4288,187700,133417,76308,49410,18127,3703,75139,46487,26313,14229,7699,3314,201636,142383,74067,41126,20661,3996,72215,50385,25826,20466,11110,6724,201636,137316,71143,41029,18029,3801,181561,124451,73092,35084,18712,5263,181268,137413,74261,42101,18419,3898,176590,120651,68024,38495,18614,4386,223564,129324,70168,34499,18809,4970,176980,137608,78939,41419,12182,4288,190721,153103,74261,50872,16373,4483,161485,138680,81083,46487,22805,4873,183899,141604,79037,43758,17640
Raw Data (Em Spectrum),730,2773,62554,45195,26398,16743,7909,3081,182014,122541,73648,32150,18900,3184,67690,44374,28247,15099,10374,3903,161984,118946,72004,42422,17462,4109,65225,44065,27117,14688,8115,4622,182630,136510,71593,37800,19722,3595,67793,47352,25679,18284,9964,6882,181808,133018,69745,37389,15305,3903,165579,114426,66355,32664,15510,5649,164860,126547,69128,39340,16948,4314,159519,107544,64198,35848,17667,5341,197524,122335,64198,33075,19208,4622,161470,125417,67896,41806,13867,4314,171948,146474,73340,46325,16640,4520,153767,131066,70669,40573,23830,5341,171434,132710,71388,38519,15305
Raw Data (Em Spectrum),731,3153,56443,43305,25436,13979,7252,3153,160710,108156,60017,29746,16082,3363,58650,45091,23965,14295,8409,3679,151251,106369,63590,40677,16502,3258,63275,41938,25541,12403,6517,3889,168068,127286,62539,34581,16082,3889,60332,46037,24070,18604,8934,6096,162182,121820,65167,34791,14505,3679,149674,105739,57179,32163,18919,6201,151356,123292,69266,35527,15346,4835,147151,101534,61383,33004,15766,5150,179840,111730,58020,29115,15871,4940,149674,112571,66323,37103,10090,3889,162918,123922,63906,39205,14295,3994,132752,114463,68741,35632,21127,4625,147362,112781,67059,38470,14084
Raw Data (Em Spectrum),732,3512,54110,36549,24147,10976,7354,3183,148283,103282,62342,29854,15366,3512,56525,39183,22171,14488,7024,3512,137307,104160,59598,35891,16025,4061,56306,37866,20305,10317,7464,4281,148063,110526,56306,33257,15915,3512,54879,40830,21403,17451,8781,5927,150039,107892,59708,33037,14927,4281,131490,98123,54220,30732,14927,5817,139392,103611,56635,31830,13720,4281,135660,89233,58391,33696,16793,5049,165514,100867,52793,28208,14927,4939,136868,104050,60037,33696,12403,4390,147404,119197,59159,41159,14598,4500,122160,112502,62672,33586,20086,4500,136319,101745,57403,36440,14159
Raw Data (Em Spectrum),733,3470,44066,35161,23132,13648,6130,3585,136131,98311,51584,24289,14920,3470,49271,36895,21860,11913,7865,3585,125838,98773,55979,37705,13301,3932,55748,34814,19662,11450,6246,4164,134165,97964,54823,29031,16308,3932,53782,34582,20009,16539,7634,5783,148044,100855,58871,29840,14457,3817,121558,89521,51816,26833,15498,5667,126069,96576,54823,30187,16308,4395,129423,86282,49155,30303,14110,5320,152208,95419,49965,24751,15730,4973,126647,96460,55632,35045,11682,5205,133356,106985,55054,33194,12954,4048,116354,98542,61184,27874,17580,4858,122368,100740,51006,30534,14804
Raw Data (Em Spectrum),734,3663,51524,33332,20634,12332,6349,3663,123561,94258,51036,22832,14529,4029,49693,36995,22954,12332,8425,4151,116968,91083,58118,30646,12576,3663,48838,32966,19291,11233,6349,4273,120630,93769,53844,30890,14651,3907,47495,35164,21367,17338,8058,6959,125514,91328,52135,28815,12210,4151,122828,83513,48350,24297,13919,5250,119287,91205,47739,28570,13919,4518,116479,78996,51158,27349,14774,4518,148957,84612,48960,21611,14041,4273,115014,88397,55553,30524,10378,4762,130398,99142,49082,34187,12698,4518,109031,91816,52379,30402,15995,4762,118311,98775,53844,30402,12942
Raw Data (Em Spectrum),735,3842,38040,33942,19468,11143,6916,3714,122574,75824,44700,22286,12168,4099,45981,33301,19340,11271,7044,4483,109510,82356,43804,31380,13449,3971,42395,29715,17675,11015,8325,4227,122190,90682,48159,25872,13833,4227,43163,32277,17035,13577,8581,5764,124751,84918,44572,27538,12296,4483,107716,74671,39833,23439,14345,5764,114249,83253,48415,26897,11527,4611,105667,70701,43035,23183,13705,4867,127185,82228,41755,22927,12424,4867,110534,77617,47262,25872,9606,3971,113480,87864,46237,31508,11271,4995,93371,82356,47902,30740,18059,5379,112968,84021,49311,27666,12424
Raw Data (Em Spectrum),736,3886,40463,25457,17150,9781,6163,3886,104641,78380,41669,19964,14604,4019,42607,32156,18758,9915,7503,4019,101827,73155,44750,27065,11657,4153,43545,29744,20231,10585,6163,4421,113216,78246,43545,23715,15006,4421,36979,28538,17552,13130,8039,5627,109196,82266,44348,24519,12996,5225,99416,72217,40999,21839,11255,5895,107053,83070,42607,24117,12192,4823,100755,66322,40731,23983,12058,5091,118575,76370,40061,21169,12862,5091,100889,76370,44884,27065,8977,5091,105713,81462,41133,28806,12058,4689,91511,77978,43813,24117,14336,4555,99148,78514,45688,27065,12192
Raw Data (Em Spectrum),737,3502,38517,26752,15827,11345,7143,4202,100844,69050,41038,22410,14006,4342,42159,27032,17648,9944,7003,5042,91180,70591,43979,24371,11485,4062,37537,27872,17228,9804,6723,4902,103226,74093,43419,23951,14146,4202,38097,27872,16107,13586,7143,6723,103506,75913,41318,22970,12886,4622,96783,63028,37957,21429,12466,6023,95802,71572,42299,23951,11625,4622,92721,63308,38797,22410,13026,5182,108268,69331,36416,19749,12606,5182,96503,71291,42859,21990,8964,4762,96222,79135,38797,27312,11065,4902,84737,72132,41178,21990,15967,4902,95662,70591,39637,21289,13306
